x,y,z
1175,450,917.842
1175,500,995.516
1175,550,1118.663
1175,600,1247.082
1175,650,1365.215
1175,700,1474.589
1175,750,1576.414
1175,800,1671.665
1175,850,1761.139
1175,900,1845.498
1175,950,1925.295
1175,1000,2000.997
1175,1050,2110.047
1175,1100,2247.43
1175,1150,2378.705
1175,1200,2504.392
1175,1250,2624.947
1175,1300,2740.774
1175,1350,2852.228
1175,1400,2959.629
1175,1450,3063.261
1200,0,0
1200,50,97.563
1200,100,201.77
1200,150,305.349
1200,200,411.183
1200,250,493.275
1200,300,618.926
1200,350,732.569
1200,400,831.011
1200,450,917.842
1200,500,995.516
1200,550,1118.663
1200,600,1247.082
1200,650,1365.215
1200,700,1474.589
1200,750,1576.414
1200,800,1671.665
1200,850,1761.139
1200,900,1845.498
1200,950,1925.295
1200,1000,2000.997
1200,1050,2110.047
1200,1100,2247.43
1200,1150,2378.705
1200,1200,2504.392
1200,1250,2624.947
1200,1300,2740.774
1200,1350,2852.228
1200,1400,2959.629
1200,1450,3063.261
1225,0,0
1225,50,97.563
1225,100,201.77
1225,150,305.349
1225,200,411.183
1225,250,493.275
1225,300,618.926
1225,350,732.569
1225,400,831.011
1225,450,917.842
1225,500,995.516
1225,550,1118.663
1225,600,1247.082
1225,650,1365.215
1225,700,1474.589
1225,750,1576.414
1225,800,1671.665
1225,850,1761.139
1225,900,1845.498
1225,950,1925.295
1225,1000,2000.997
1225,1050,2110.047
1225,1100,2247.43
1225,1150,2378.705
1225,1200,2504.392
1225,1250,2624.947
1225,1300,2740.774
1225,1350,2852.228
1225,1400,2959.629
1225,1450,3063.261
1250,0,0
1250,50,97.563
1250,100,201.77
1250,150,305.349
1250,200,411.183
1250,250,493.275
1250,300,618.926
1250,350,732.569
1250,400,831.011
1250,450,917.842
1250,500,995.516
1250,550,1118.663
1250,600,1247.082
1250,650,1365.215
1250,700,1474.589
1250,750,1576.414
1250,800,1671.665
1250,850,1761.139
1250,900,1845.498
1250,950,1925.295
1250,1000,2000.997
1250,1050,2110.047
1250,1100,2247.43
1250,1150,2378.705
1250,1200,2504.392
1250,1250,2624.947
1250,1300,2740.774
1250,1350,2852.228
1250,1400,2959.629
1250,1450,3063.261
1275,0,0
1275,50,97.563
1275,100,201.77
1275,150,305.349
1275,200,411.183
1275,250,493.275
1275,300,618.926
1275,350,732.569
1275,400,831.011
1275,450,917.842
1275,500,995.516
1275,550,1118.663
1275,600,1247.082
1275,650,1365.215
1275,700,1474.589
1275,750,1576.414
1275,800,1671.665
1275,850,1761.139
1275,900,1845.498
1275,950,1925.295
1275,1000,2000.997
1275,1050,2110.047
1275,1100,2247.43
1275,1150,2378.705
